month,20,21,22,23,0,1,2,3,4
1,0.38,0.413,0.412,0.412,0.42,0.43,0.418,0.413,0.418
2,0.393,0.433,0.471,0.453,0.471,0.462,0.487,0.48,0.484
3,0.316,0.316,0.35,0.358,0.368,0.391,0.427,0.417,0.404
4,0.278,0.288,0.346,0.359,0.391,0.391,0.425,0.395,0.41
5,0.162,0.208,0.228,0.257,0.279,0.286,0.286,0.312,0.331
6,0.11,0.177,0.207,0.294,0.293,0.333,0.34,0.39,0.417
7,0.232,0.34,0.394,0.459,0.466,0.507,0.5,0.52,0.532
8,0.166,0.231,0.285,0.319,0.374,0.398,0.398,0.435,0.463
9,0.22,0.267,0.287,0.327,0.343,0.393,0.393,0.417,0.433
10,0.298,0.368,0.365,0.406,0.416,0.439,0.442,0.458,0.455
11,0.435,0.446,0.473,0.485,0.497,0.508,0.53,0.527,0.542
12,0.438,0.459,0.461,0.482,0.466,0.427,0.426,0.422,0.428
